measurer,type,time,number
11,S,57:25.3,
11,S,21:26.4,
11,S,21:27.3,
11,S,22:48.7,
11,S,28:40.3,121
11,T,30:24.5,
11,S,34:37.8,122
11,S,34:38.3,
11,S,35:16.2,125
11,S,35:16.7,
11,S,35:50.0,127
11,S,35:50.6,
11,S,36:23.4,129
11,S,36:23.9,
11,S,37:08.1,131
11,S,37:39.2,134
11,S,38:12.0,135
11,S,38:12.3,
11,S,38:51.5,136
11,S,38:52.2,
11,S,39:30.5,137
11,S,39:30.8,
11,S,40:02.6,144
11,S,40:03.0,
11,S,40:36.1,141
11,S,40:37.8,
11,S,41:11.8,139
11,S,41:12.2,
11,S,41:57.7,146
11,S,41:58.5,
11,S,42:28.1,126
11,S,42:29.3,
11,S,43:00.7,149
11,S,43:01.1,
11,S,43:40.0,138
11,S,43:40.6,
11,S,44:09.8,148
11,S,44:10.1,
11,S,44:41.5,153
11,S,44:42.1,
11,S,45:14.5,145
11,S,45:49.7,155
11,S,45:50.6,
11,S,46:36.5,156
11,S,46:36.8,
11,S,47:07.6,147
11,S,47:42.2,157
11,S,47:42.6,
11,S,48:14.2,159
11,S,48:14.6,
11,S,48:47.3,165
11,S,49:21.1,166
11,S,49:21.4,
11,S,49:53.8,142
11,S,49:54.8,
11,S,50:31.0,158
11,S,50:31.7,
11,S,51:04.9,172
11,S,51:05.9,
11,S,51:46.3,173
11,S,52:32.6,168
11,S,53:28.0,171
11,S,54:04.9,174
11,S,54:05.5,
11,S,54:39.2,176
11,S,55:13.5,178
11,S,55:13.9,
11,S,55:48.3,179
11,S,55:49.3,
11,S,56:36.0,181
11,S,59:00.4,164
11,S,59:00.9,
11,S,59:41.2,154
11,S,59:42.8,
11,S,00:16.0,167
11,S,00:16.3,
11,S,00:48.2,161
11,S,01:21.8,163
11,S,03:04.8,177
11,S,03:06.2,
11,S,03:43.3,152
11,S,03:43.8,
11,S,04:15.4,175
11,S,04:15.8,
11,S,04:58.3,132
11,S,04:58.6,
